CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location
93704,9000383210,2009383210,010,HOMICIDE,HOMICIDE,HOMICIDE,11/02/2009 09:34:00 AM,29XX BLOCK OF E YESLER WAY,G,G3,8800.3010,-122.294334431,47.601651037,"(47.601651037, -122.294334431)"
640104,10000000327,2010327,043,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,01/01/2010 07:51:00 AM,36 AV S / S ADAMS ST,R,R3,10100.5043,-122.287389722,47.565396854,"(47.565396854, -122.287389722)"
155693,10000002431,2010002431,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,01/03/2010 03:27:00 AM,22XX BLOCK OF WESTERN AVE,M,M1,8002.2001,-122.346722395,47.612326001,"(47.612326001, -122.346722395)"
640097,10000005615,20105615,043,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,01/06/2010 08:39:00 AM,38XX BLOCK OF LAKE WASHINGTON BV S,R,R3,10100.1003,-122.274911683,47.569840375,"(47.569840375, -122.274911683)"
109768,10000059520,2010059520,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,02/21/2010 09:28:00 PM,3XX BLOCK OF PIKE ST,K,K1,8100.2009,-122.337238175,47.609981889,"(47.609981889, -122.337238175)"
17129,10000166367,2010166367,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,05/21/2010 02:27:00 AM,52XX BLOCK OF BROOKLYN AVE NE,U,U3,4400.4001,-122.314168862,47.667499673,"(47.667499673, -122.314168862)"
142453,10000215685,2010215685,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,06/25/2010 03:19:00 PM,41XX BLOCK OF E MADISON ST,C,C3,6300.2003,-122.279025415,47.635099345,"(47.635099345, -122.279025415)"
18678,10000216362,2010216362,049,"ASSAULTS, GANG RELATED ",ASSAULTS,ASSAULTS,06/26/2010 01:35:00 AM,91XX BLOCK OF 50TH AVE S,S,S2,11800.4006,-122.271376799,47.521674093,"(47.521674093, -122.271376799)"
34742,10000235568,2010235568,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,07/09/2010 09:52:00 PM,1XX BLOCK OF 14TH AVE,G,G1,8600.3007,-122.314179501,47.602185021,"(47.602185021, -122.314179501)"
24392,10000243088,2010243088,043,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,07/15/2010 01:27:00 PM,51XX BLOCK OF CLOVERDALE PL S,S,S3,11800.4000,-122.269006741,47.526821692,"(47.526821692, -122.269006741)"
