id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution,,Crime_Map,,lat&long
5,-122.3755543,47.734145,5,0,0,96,0,,312,,"(47.734145,-122.375554333333)"
6,-122.358726,47.734145,129,0,6,287,961,,1181,,"(47.734145,-122.358725999999)"
7,-122.3418977,47.734145,14,0,0,222,2,,489,,"(47.734145,-122.341897666666)"
8,-122.3250693,47.734145,27,0,0,177,0,,412,,"(47.734145,-122.325069333333)"
9,-122.308241,47.734145,144,1,1,398,11,,926,,"(47.734145,-122.308241)"
10,-122.2914127,47.734145,22,0,0,217,1,,273,,"(47.734145,-122.291412666666)"
19,-122.3923827,47.7184608,0,0,0,14,0,,43,,"(47.7184607999999,-122.392382666666)"
20,-122.3755543,47.7184608,15,0,0,122,0,,344,,"(47.7184607999999,-122.375554333333)"
21,-122.358726,47.7184608,192,0,0,383,481,,857,,"(47.7184607999999,-122.358725999999)"
22,-122.3418977,47.7184608,45,0,1,191,12,,587,,"(47.7184607999999,-122.341897666666)"
23,-122.3250693,47.7184608,125,0,2,286,3,,812,,"(47.7184607999999,-122.325069333333)"
24,-122.308241,47.7184608,68,0,4,330,5,,808,,"(47.7184607999999,-122.308241)"
25,-122.2914127,47.7184608,10,0,0,249,1,,491,,"(47.7184607999999,-122.291412666666)"
33,-122.409211,47.7027766,7,0,0,111,0,,132,,"(47.7027766,-122.409211)"
34,-122.3923827,47.7027766,35,0,0,241,2,,440,,"(47.7027766,-122.392382666666)"
35,-122.3755543,47.7027766,50,0,0,497,3,,645,,"(47.7027766,-122.375554333333)"
36,-122.358726,47.7027766,201,1,1,654,620,,1147,,"(47.7027766,-122.358725999999)"
37,-122.3418977,47.7027766,78,0,1,284,20,,467,,"(47.7027766,-122.341897666666)"
38,-122.3250693,47.7027766,17,0,0,257,1,,768,,"(47.7027766,-122.325069333333)"
39,-122.308241,47.7027766,11,0,0,316,6,,702,,"(47.7027766,-122.308241)"
40,-122.2914127,47.7027766,8,0,0,172,0,,374,,"(47.7027766,-122.291412666666)"
41,-122.2745843,47.7027766,4,0,0,13,0,,59,,"(47.7027766,-122.274584333333)"
48,-122.409211,47.6870924,5,0,0,184,1,,261,,"(47.6870924,-122.409211)"
49,-122.3923827,47.6870924,33,1,0,456,3,,719,,"(47.6870924,-122.392382666666)"
50,-122.3755543,47.6870924,34,0,0,449,4,,588,,"(47.6870924,-122.375554333333)"
51,-122.358726,47.6870924,25,1,0,341,10,,590,,"(47.6870924,-122.358725999999)"
52,-122.3418977,47.6870924,16,0,1,206,1,,486,,"(47.6870924,-122.341897666666)"
53,-122.3250693,47.6870924,66,0,0,581,2,,1013,,"(47.6870924,-122.325069333333)"
54,-122.308241,47.6870924,10,0,0,327,0,,618,,"(47.6870924,-122.308241)"
55,-122.2914127,47.6870924,12,0,0,258,0,,509,,"(47.6870924,-122.291412666666)"
56,-122.2745843,47.6870924,11,0,1,154,1,,380,,"(47.6870924,-122.274584333333)"
57,-122.257756,47.6870924,2,0,0,6,0,,9,,"(47.6870924,-122.257756)"
62,-122.4260393,47.6714082,0,0,0,10,1,,21,,"(47.6714082,-122.426039333333)"
63,-122.409211,47.6714082,11,0,0,200,0,,275,,"(47.6714082,-122.409211)"
64,-122.3923827,47.6714082,78,0,3,250,5,,864,,"(47.6714082,-122.392382666666)"
65,-122.3755543,47.6714082,50,0,0,473,2,,538,,"(47.6714082,-122.375554333333)"
66,-122.358726,47.6714082,126,0,3,433,66,,964,,"(47.6714082,-122.358725999999)"
67,-122.3418977,47.6714082,36,1,0,333,1,,901,,"(47.6714082,-122.341897666666)"
68,-122.3250693,47.6714082,497,2,0,810,6,,2305,,"(47.6714082,-122.325069333333)"
69,-122.308241,47.6714082,24,0,0,362,6,,891,,"(47.6714082,-122.308241)"
70,-122.2914127,47.6714082,8,0,1,204,0,,519,,"(47.6714082,-122.291412666666)"
71,-122.2745843,47.6714082,0,0,0,52,0,,148,,"(47.6714082,-122.274584333333)"
72,-122.257756,47.6714082,0,0,0,4,0,,7,,"(47.6714082,-122.257756)"
77,-122.4260393,47.655724,0,0,0,117,0,,97,,"(47.655724,-122.426039333333)"
78,-122.409211,47.655724,8,0,0,319,0,,305,,"(47.655724,-122.409211)"
79,-122.3923827,47.655724,22,0,0,358,0,,468,,"(47.655724,-122.392382666666)"
