id,longitude,latitude,Drugs,FoodBanks,PublicArt,CodeViolation,Prostitution
0,-122.459696,47.734145,0.0,0.0,0.0,0.0,0.0
1,-122.44286766666666,47.734145,0.0,0.0,0.0,0.0,0.0
2,-122.42603933333332,47.734145,0.0,0.0,0.0,0.0,0.0
3,-122.409211,47.734145,0.0,0.0,0.0,0.0,0.0
4,-122.39238266666666,47.734145,0.0,0.0,0.0,0.0,0.0
5,-122.37555433333333,47.734145,5.0,0.0,0.0,96.0,0.0
6,-122.35872599999999,47.734145,129.0,0.0,6.0,287.0,961.0
7,-122.34189766666667,47.734145,14.0,0.0,0.0,222.0,2.0
8,-122.32506933333333,47.734145,27.0,0.0,0.0,177.0,0.0
9,-122.308241,47.734145,144.0,1.0,1.0,398.0,11.0
10,-122.29141266666666,47.734145,22.0,0.0,0.0,217.0,1.0
11,-122.27458433333334,47.734145,0.0,0.0,0.0,0.0,0.0
12,-122.257756,47.734145,0.0,0.0,0.0,0.0,0.0
13,-122.24092766666666,47.734145,0.0,0.0,0.0,0.0,0.0
14,-122.22409933333333,47.734145,0.0,0.0,0.0,0.0,0.0
15,-122.459696,47.718460799999995,0.0,0.0,0.0,0.0,0.0
16,-122.44286766666666,47.718460799999995,0.0,0.0,0.0,0.0,0.0
17,-122.42603933333332,47.718460799999995,0.0,0.0,0.0,0.0,0.0
18,-122.409211,47.718460799999995,0.0,0.0,0.0,0.0,0.0
19,-122.39238266666666,47.718460799999995,0.0,0.0,0.0,14.0,0.0
20,-122.37555433333333,47.718460799999995,15.0,0.0,0.0,122.0,0.0
21,-122.35872599999999,47.718460799999995,192.0,0.0,0.0,383.0,481.0
22,-122.34189766666667,47.718460799999995,45.0,0.0,1.0,191.0,12.0
23,-122.32506933333333,47.718460799999995,125.0,0.0,2.0,286.0,3.0
24,-122.308241,47.718460799999995,68.0,0.0,4.0,330.0,5.0
25,-122.29141266666666,47.718460799999995,10.0,0.0,0.0,249.0,1.0
26,-122.27458433333334,47.718460799999995,0.0,0.0,0.0,0.0,0.0
27,-122.257756,47.718460799999995,0.0,0.0,0.0,0.0,0.0
28,-122.24092766666666,47.718460799999995,0.0,0.0,0.0,0.0,0.0
29,-122.22409933333333,47.718460799999995,0.0,0.0,0.0,0.0,0.0
30,-122.459696,47.7027766,0.0,0.0,0.0,0.0,0.0
31,-122.44286766666666,47.7027766,0.0,0.0,0.0,0.0,0.0
32,-122.42603933333332,47.7027766,0.0,0.0,0.0,0.0,0.0
33,-122.409211,47.7027766,7.0,0.0,0.0,111.0,0.0
34,-122.39238266666666,47.7027766,35.0,0.0,0.0,241.0,2.0
35,-122.37555433333333,47.7027766,50.0,0.0,0.0,497.0,3.0
36,-122.35872599999999,47.7027766,201.0,1.0,1.0,654.0,620.0
37,-122.34189766666667,47.7027766,78.0,0.0,1.0,284.0,20.0
38,-122.32506933333333,47.7027766,17.0,0.0,0.0,257.0,1.0
39,-122.308241,47.7027766,11.0,0.0,0.0,316.0,6.0
40,-122.29141266666666,47.7027766,8.0,0.0,0.0,172.0,0.0
41,-122.27458433333334,47.7027766,4.0,0.0,0.0,13.0,0.0
42,-122.257756,47.7027766,0.0,0.0,0.0,0.0,0.0
43,-122.24092766666666,47.7027766,0.0,0.0,0.0,0.0,0.0
